"code_pnt","pntname","State","lat_deg","lat_min","lat_sec","lng_deg","lng_min","lng_sec","series","DistSpec","DistCalcGCM_TDPF","DistCalcGCM_UK","DistCalcGCM_Intl","DistCalcGEOD","DistGen","notes","system","MyPoint","Club","DistCalcGCM_TDPFyds","DistCalcGCM_UKyds","DistCalcGCM_Intlyds","DistCalcGEODyds","DistType"
"20KT","20Klm Toss","",,,,,,,"TOSS",20000,,0,,0,,"","False","","",,,,,""
"5KT","5Klm Toss","",,,,,,,"TOSS",,,0,,0,,"","False","","",,,,,""
"70KT","70Klm Toss","",,,,,,,"TOSS",,,0,,0,,"","False","","",,,,,""
"ACLAN","ACKLAND","QLD",27,18,20,151,41,20,"North",,,51301.2381284261,,0,,"","False","","",,,,,""
"ALLOR","ALLORA","QLD",28,2,13,151,58,52,"South/West",,,38112.4095746536,,0,,"","False","","",,,,,""
"AUBIG","AUBIGNY","QLD",27,31,29,151,38,54,"West",,,36830.0339888312,,0,,"","False","","",,,,,""
"AYR","AYR","QLD",19,35,25,147,24,39,"North",,,1012931.60502971,,0,,"","False","","",,,,,""
"BARCA","BARCALDINE","QLD",23,33,22,145,17,20,"West",,,811956.960159815,,0,,"","False","","",,,,,""
"BEAUD","BEAUDESERT","QLD",27,59,35,152,59,40,"TOSS",,,106038.357683981,,0,,"","False","","",,,,,""
"BEERW","BEERWAH","QLD",26,51,33,152,57,36,"TOSS",,,134835.144872478,,0,,"","False","","",,,,,""
"BIDDE","BIDDESTON","QLD",27,34,17,151,42,59,"TOSS",,,28432.1764083693,,0,,"","False","","",,,,,""
"BIRDS","BIRDSVILLE","QLD",25,52,53,139,21,26,"West",,,1266824.36606468,,0,,"","False","","",,,,,""
"BOLLO","BOLLON","QLD",28,1,58,147,28,55,"West",,,15715643.5808402,,0,,"","False","","",,,,,""
"BOWE1","BOWENVILLE","QLD",27,18,25,151,29,50,"TOSS",,,63416.7780856102,,0,,"","False","","",,,,,""
"BOWEN","BOWEN","QLD",19,58,55,148,13,51,"North",,,937433.498008559,,0,,"","False","","",,,,,""
"BRISB","BRISBANE","QLD",27,28,28,153,1,30,"TOSS",,,106780.41360154,,0,,"","False","","",,,,,""
"BROOK","BROOKSTEAD","QLD",27,45,30,151,26,39,"TOSS",,,52192.6056716587,,0,,"","False","","",,,,,""
"BUNDA","BUNDABERG","QLD",24,53,0,152,21,0,"North",,,314682.152201073,,0,,"","False","","",,,,,""
