"code","yr","mark","ringno","status"
"13EPP",2012,"TOOWOOMBA","0441","0"
"13EPP",2012,"TOOWOOMBA","0455","0"
"13HWC",2012,"TOOWOOMBA","0392","0"
"13HWC",2012,"TOOWOOMBA","0403","0"
"13HWC",2012,"TOOWOOMBA","0405","0"
"13MDP",2013,"SAMDPR","181","0"
"13MDP",2013,"SAMDPR","182","0"
"13MDP",2013,"SAMDPR","183","0"
"13MDP",2013,"SAMDPR","184","0"
"13MDP",2013,"SAMDPR","185","0"
"13MDP",2013,"SAMDPR","186","0"
"13MDP",2013,"SAMDPR","187","0"
"13MDP",2013,"SAMDPR","188","0"
"13MDP",2013,"SAMDPR","189","0"
"13MDP",2013,"SAMDPR","190","0"
"13MDP",2013,"SAMDPR","191","0"
"13MDP",2013,"SAMDPR","192","0"
"13MDP",2013,"SAMDPR","193","0"
"13MDP",2013,"SAMDPR","194","0"
"13MDP",2013,"SAMDPR","195","0"
"13MDP",2013,"SAMDPR","196","0"
"13MDP",2013,"SAMDPR","197","0"
"13MDP",2013,"SAMDPR","198","0"
"13MDP",2013,"SAMDPR","199","0"
"13MDP",2013,"SAMDPR","200","0"
"13MDP",2013,"SAMDPR","201","0"
"13MDP",2013,"SAMDPR","202","0"
"13MDP",2013,"SAMDPR","203","0"
"13MDP",2013,"SAMDPR","204","0"
"2013B",2012,"HIGHFIELDS","0930","0"
"2013B",2012,"HIGHFIELDS","0951","0"
"2013B",2012,"HIGHFIELDS","0952","0"
"2013B",2012,"HIGHFIELDS","0955","0"
"2013B",2012,"HIGHFIELDS","0956","0"
"2013B",2012,"HIGHFIELDS","0962","0"
"2013B",2012,"HIGHFIELDS","0964","0"
"2013B",2012,"HIGHFIELDS","0965","0"
"2013B",2012,"HIGHFIELDS","0966","0"
"2013B",2012,"HIGHFIELDS","0971","0"
"2013B",2012,"HIGHFIELDS","0973","0"
"2013B",2012,"HIGHFIELDS","0976","0"
"2013B",2012,"HIGHFIELDS","0978","0"
"2013B",2012,"HIGHFIELDS","0979","0"
"2013B",2012,"HIGHFIELDS","0980","0"
"2013B",2012,"HIGHFIELDS","0982","0"
"2013B",2012,"HIGHFIELDS","0984","0"
"2013B",2012,"HIGHFIELDS","0989","0"
"2013B",2012,"HIGHFIELDS","0991","0"
"2013B",2012,"HIGHFIELDS","0993","0"
"2013B",2012,"HIGHFIELDS","0994","0"
"2013B",2012,"HIGHFIELDS","0996","0"
"2013G",2012,"HIGHFIELDS","0878","0"
"2013G",2012,"HIGHFIELDS","0888","0"
"2013G",2012,"HIGHFIELDS","0936","0"
"2013G",2012,"HIGHFIELDS","0938","0"
"2013G",2012,"HIGHFIELDS","0939","0"
"2013G",2012,"HIGHFIELDS","0948","0"
"2013G",2012,"HIGHFIELDS","0961","0"
"2013G",2012,"HIGHFIELDS","0969","0"
"2013Q",2012,"HIGHFIELDS","0869","0"
"2013Q",2012,"HIGHFIELDS","0877","0"
"2013Q",2012,"HIGHFIELDS","0897","0"
"2013Q",2012,"HIGHFIELDS","0900","0"
"2013Q",2012,"HIGHFIELDS","0995","0"
"2013Q",2012,"HIGHFIELDS","0999","0"
"2013T",2012,"HIGHFIELDS","0889","0"
"2013T",2012,"HIGHFIELDS","0893","0"
"2013T",2012,"HIGHFIELDS","0894","0"
"2013T",2012,"HIGHFIELDS","0898","0"
"2013T",2012,"HIGHFIELDS","0997","0"
